OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01478000,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",Stream,,02040205,20.5,sq mi,,,39.63738889000000,-75.7278888900000,24000,1,seconds,Interpolated from MAP.,NAD83,24.52,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01478500,"WHITE CLAY CREEK ABOVE NEWARK, DE",Stream,,02040205,66.70,sq mi,,,39.71400027000000,-75.7593801000000,24000,1,seconds,Interpolated from MAP.,NAD83,78.60,feet,.01,feet,Level or other surveyed method.,NGVD29,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01478650,"WHITE CLAY CREEK AT NEWARK, DE",Stream,,02040205,69.0,sq mi,,,39.68922220000000,-75.7487500000000,24000,1,seconds,Interpolated from MAP.,NAD83,55.31,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",Stream,,02040205,314,sq mi,,,39.76950000000000,-75.5766944000000,,.1,seconds,Interpolated from Digital MAP.,NAD83,67.17,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483500,"LEIPSIC RIVER NEAR CHESWOLD, DE",Stream,,02040207,9.35,sq mi,,,39.23286110000000,-75.6323056000000,,1,seconds,Interpolated from Digital MAP.,NAD83,16.58,feet,.01,feet,Level or other surveyed method.,NAVD88,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483666,"Penrose B nr Pearsons Corner, DE",Stream,,02040207,3.77,sq mi,,,39.16361110000000,-75.6327777800000,24000,1,seconds,Interpolated from MAP.,NAD83,50,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483990,"Black Swamp C nr Mastens Corner, DE",Stream,,02040207,4.24,sq mi,,,38.97594665000000,-75.6013149900000,24000,1,seconds,Interpolated from MAP.,NAD83,50,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484036,"Hudson B at Canterbury, DE",Stream,,02040207,4.85,sq mi,,,39.03900176000000,-75.5471464000000,24000,1,seconds,Interpolated from MAP.,NAD83,30,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484050,"PRATT BRANCH NEAR FELTON, DE",Stream,,02040207,2.91,sq mi,,,39.01027778000000,-75.5289722000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,25,feet,10,feet,Interpolated from topographic map.,NGVD29,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484100,"BEAVERDAM BRANCH AT HOUSTON, DE",Stream,,02040207,3.02,sq mi,,,38.90577778000000,-75.5127500000000,,1,seconds,Interpolated from MAP.,NAD83,34.87,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484534,"SWAN CREEK NEAR MILLSBORO, DE",Stream,,02040303,5.23,sq mi,,,38.62290468000000,-75.2560945000000,24000,.1,seconds,Interpolated from MAP.,NAD83,15,feet,1,feet,Interpolated from topographic map.,NGVD29,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484640,"Unity Branch at Fairmount, DE",Stream,,02040303,3.58,sq mi,,,38.66250000000000,-75.2219444000000,24000,1,seconds,Interpolated from MAP.,NAD83,15,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484645,"PHILLIPS BRANCH NEAR FAIRMOUNT, DE",Stream,,02040303,3.35,sq mi,,,38.65844590000000,-75.2082422000000,24000,1,seconds,Interpolated from MAP.,NAD83,10,feet,.5,feet,Interpolated from topographic map.,NGVD29,US,10,005,,,,,,,,,,NWIS
